 17.0 .707107 -1.224745 1.581139 -1.870829 2.121320 1 1 4 4
 18.6 .707107 -.952579 .644168 -.017964 -.620456 3 1 4 38
 24.0 .707107 -.680414 -.058561 .757057 -.775651 4 1 4 72
 20.0 .707107 -.408248 -.527046 .762189 .026189 5 1 4 106
 20.0 .707107 -.136083 -.761289 .305389 .698700 6 1 4 140
 15.5 .707107 .136083 -.761289 -.305389 .698700 7 1 4 174
 16.0 .707107 .408248 -.527046 -.762189 .026189 8 1 4 208
 13.0 .707107 .680414 -.058561 -.757057 -.775651 9 1 4 242
 8.2 .707107 .952579 .644168 .017964 -.620456 10 1 4 276
 8.0 .707107 1.224745 1.581139 1.870829 2.121320 2 1 4 310
 23.0 .707107 -1.224745 1.581139 -1.870829 2.121320 1 1 1 4
 21.0 .707107 -.952579 .644168 -.017964 -.620456 3 1 1 38
 18.0 .707107 -.680414 -.058561 .757057 -.775651 4 1 1 72
 17.0 .707107 -.408248 -.527046 .762189 .026189 5 1 1 106
 16.2 .707107 -.136083 -.761289 .305389 .698700 6 1 1 140
 14.0 .707107 .136083 -.761289 -.305389 .698700 7 1 1 174
 14.2 .707107 .408248 -.527046 -.762189 .026189 8 1 1 208
 13.4 .707107 .680414 -.058561 -.757057 -.775651 9 1 1 242
 11.8 .707107 .952579 .644168 .017964 -.620456 10 1 1 276
 11.4 .707107 1.224745 1.581139 1.870829 2.121320 2 1 1 310
 10.4 .707107 -1.224745 1.581139 -1.870829 2.121320 7 1 3 4
 12.3 .707107 -.952579 .644168 -.017964 -.620456 8 1 3 38
 13.2 .707107 -.680414 -.058561 .757057 -.775651 9 1 3 72
 11.6 .707107 -.408248 -.527046 .762189 .026189 10 1 3 106
 8.4 .707107 -.136083 -.761289 .305389 .698700 2 1 3 140
 22.8 .707107 -1.224745 1.581139 -1.870829 2.121320 5 1 5 4
 22.4 .707107 -.952579 .644168 -.017964 -.620456 6 1 5 38
 21.4 .707107 -.680414 -.058561 .757057 -.775651 7 1 5 72
 18.8 .707107 -.408248 -.527046 .762189 .026189 8 1 5 106
 18.3 .707107 -.136083 -.761289 .305389 .698700 9 1 5 140
 16.2 .707107 .136083 -.761289 -.305389 .698700 10 1 5 174
 15.0 .707107 .408248 -.527046 -.762189 .026189 2 1 5 208
 22.2 .707107 -1.224745 1.581139 -1.870829 2.121320 1 1 2 4
 20.0 .707107 -.952579 .644168 -.017964 -.620456 3 1 2 38
 21.0 .707107 -.680414 -.058561 .757057 -.775651 4 1 2 72
 23.0 .707107 -.408248 -.527046 .762189 .026189 5 1 2 106
 16.8 .707107 -.136083 -.761289 .305389 .698700 6 1 2 140
 11.0 .707107 .136083 -.761289 -.305389 .698700 7 1 2 174
 13.0 .707107 .408248 -.527046 -.762189 .026189 8 1 2 208
 17.0 .707107 .680414 -.058561 -.757057 -.775651 9 1 2 242
 13.0 .707107 .952579 .644168 .017964 -.620456 10 1 2 276
 12.6 .707107 1.224745 1.581139 1.870829 2.121320 2 1 2 310
